outlet_id,conflict_id,mention_count,leader,context
106,14,21.0,Putin,death_reporting
108,1,467.0,Putin,death_reporting
108,14,13.0,Putin,death_reporting
1,1,224.0,Putin,human_rights_violations
1,14,22.0,Putin,human_rights_violations
2,1,52.0,Putin,human_rights_violations
2,14,8.0,Putin,human_rights_violations
3,1,398.0,Putin,human_rights_violations
3,14,3.0,Putin,human_rights_violations
4,1,195.0,Putin,human_rights_violations
4,14,16.0,Putin,human_rights_violations
5,1,249.0,Putin,human_rights_violations
5,14,8.0,Putin,human_rights_violations
6,1,301.0,Putin,human_rights_violations
6,14,10.0,Putin,human_rights_violations
7,1,315.0,Putin,human_rights_violations
7,14,15.0,Putin,human_rights_violations
8,1,208.0,Putin,human_rights_violations
8,14,7.0,Putin,human_rights_violations
9,1,221.0,Putin,human_rights_violations
9,14,48.0,Putin,human_rights_violations
10,1,133.0,Putin,human_rights_violations
10,14,20.0,Putin,human_rights_violations
11,14,0.0,Putin,human_rights_violations
12,1,20.0,Putin,human_rights_violations
12,14,8.0,Putin,human_rights_violations
13,1,159.0,Putin,human_rights_violations
13,14,21.0,Putin,human_rights_violations
14,1,260.0,Putin,human_rights_violations
14,14,1.0,Putin,human_rights_violations
15,1,79.0,Putin,human_rights_violations
15,14,0.0,Putin,human_rights_violations
16,1,381.0,Putin,human_rights_violations
16,14,10.0,Putin,human_rights_violations
17,1,28.0,Putin,human_rights_violations
17,14,15.0,Putin,human_rights_violations
18,1,253.0,Putin,human_rights_violations
18,14,28.0,Putin,human_rights_violations
19,1,235.0,Putin,human_rights_violations
19,14,18.0,Putin,human_rights_violations
20,1,247.0,Putin,human_rights_violations
20,14,0.0,Putin,human_rights_violations
21,1,223.0,Putin,human_rights_violations
21,14,7.0,Putin,human_rights_violations
22,1,222.0,Putin,human_rights_violations
22,14,8.0,Putin,human_rights_violations
23,1,355.0,Putin,human_rights_violations
23,14,11.0,Putin,human_rights_violations
24,1,207.0,Putin,human_rights_violations
24,14,7.0,Putin,human_rights_violations
25,1,216.0,Putin,human_rights_violations
25,14,16.0,Putin,human_rights_violations
26,1,235.0,Putin,human_rights_violations
26,14,47.0,Putin,human_rights_violations
27,1,292.0,Putin,human_rights_violations
27,14,5.0,Putin,human_rights_violations
28,1,222.0,Putin,human_rights_violations
28,14,24.0,Putin,human_rights_violations
29,1,271.0,Putin,human_rights_violations
29,14,44.0,Putin,human_rights_violations
30,1,229.0,Putin,human_rights_violations
30,14,2.0,Putin,human_rights_violations
31,1,154.0,Putin,human_rights_violations
31,14,3.0,Putin,human_rights_violations
32,1,5.0,Putin,human_rights_violations
32,14,6.0,Putin,human_rights_violations
33,1,205.0,Putin,human_rights_violations
33,14,8.0,Putin,human_rights_violations
34,1,119.0,Putin,human_rights_violations
34,14,3.0,Putin,human_rights_violations
35,1,286.0,Putin,human_rights_violations
35,14,6.0,Putin,human_rights_violations
37,1,71.0,Putin,human_rights_violations
37,14,5.0,Putin,human_rights_violations
38,1,199.0,Putin,human_rights_violations
38,14,4.0,Putin,human_rights_violations
39,1,132.0,Putin,human_rights_violations
39,14,7.0,Putin,human_rights_violations
40,1,0.0,Putin,human_rights_violations
41,1,230.0,Putin,human_rights_violations
41,14,16.0,Putin,human_rights_violations
42,1,193.0,Putin,human_rights_violations
42,14,2.0,Putin,human_rights_violations
43,1,182.0,Putin,human_rights_violations
43,14,2.0,Putin,human_rights_violations
44,1,218.0,Putin,human_rights_violations
44,14,0.0,Putin,human_rights_violations
45,1,53.0,Putin,human_rights_violations
45,14,0.0,Putin,human_rights_violations
46,1,260.0,Putin,human_rights_violations
46,14,0.0,Putin,human_rights_violations
47,1,303.0,Putin,human_rights_violations
47,14,4.0,Putin,human_rights_violations
48,1,353.0,Putin,human_rights_violations
48,14,24.0,Putin,human_rights_violations
49,1,274.0,Putin,human_rights_violations
49,14,0.0,Putin,human_rights_violations
50,1,277.0,Putin,human_rights_violations
50,14,0.0,Putin,human_rights_violations
51,1,288.0,Putin,human_rights_violations
51,14,5.0,Putin,human_rights_violations
52,1,231.0,Putin,human_rights_violations
52,14,4.0,Putin,human_rights_violations
53,1,287.0,Putin,human_rights_violations
53,14,1.0,Putin,human_rights_violations
54,1,35.0,Putin,human_rights_violations
54,14,0.0,Putin,human_rights_violations
55,1,132.0,Putin,human_rights_violations
55,14,2.0,Putin,human_rights_violations
56,1,80.0,Putin,human_rights_violations
56,14,0.0,Putin,human_rights_violations
57,1,21.0,Putin,human_rights_violations
57,14,0.0,Putin,human_rights_violations
58,1,39.0,Putin,human_rights_violations
58,14,0.0,Putin,human_rights_violations
59,1,3.0,Putin,human_rights_violations
59,14,0.0,Putin,human_rights_violations
60,1,198.0,Putin,human_rights_violations
60,14,1.0,Putin,human_rights_violations
61,1,110.0,Putin,human_rights_violations
61,14,2.0,Putin,human_rights_violations
62,1,200.0,Putin,human_rights_violations
62,14,0.0,Putin,human_rights_violations
63,1,0.0,Putin,human_rights_violations
63,14,0.0,Putin,human_rights_violations
64,1,271.0,Putin,human_rights_violations
64,14,23.0,Putin,human_rights_violations
65,1,207.0,Putin,human_rights_violations
65,14,2.0,Putin,human_rights_violations
66,1,99.0,Putin,human_rights_violations
66,14,0.0,Putin,human_rights_violations
67,1,218.0,Putin,human_rights_violations
67,14,24.0,Putin,human_rights_violations
68,1,282.0,Putin,human_rights_violations
68,14,40.0,Putin,human_rights_violations
69,1,46.0,Putin,human_rights_violations
69,14,1.0,Putin,human_rights_violations
70,14,0.0,Putin,human_rights_violations
71,1,0.0,Putin,human_rights_violations
71,14,3.0,Putin,human_rights_violations
72,1,238.0,Putin,human_rights_violations
72,14,0.0,Putin,human_rights_violations
73,1,143.0,Putin,human_rights_violations
73,14,8.0,Putin,human_rights_violations
74,1,325.0,Putin,human_rights_violations
74,14,9.0,Putin,human_rights_violations
75,1,155.0,Putin,human_rights_violations
75,14,4.0,Putin,human_rights_violations
76,1,277.0,Putin,human_rights_violations
76,14,11.0,Putin,human_rights_violations
77,1,300.0,Putin,human_rights_violations
77,14,7.0,Putin,human_rights_violations
78,1,11.0,Putin,human_rights_violations
78,14,0.0,Putin,human_rights_violations
79,1,264.0,Putin,human_rights_violations
79,14,12.0,Putin,human_rights_violations
80,1,8.0,Putin,human_rights_violations
80,14,0.0,Putin,human_rights_violations
81,1,5.0,Putin,human_rights_violations
81,14,0.0,Putin,human_rights_violations
82,1,25.0,Putin,human_rights_violations
82,14,0.0,Putin,human_rights_violations
83,1,237.0,Putin,human_rights_violations
83,14,0.0,Putin,human_rights_violations
84,1,21.0,Putin,human_rights_violations
84,14,13.0,Putin,human_rights_violations
85,1,64.0,Putin,human_rights_violations
85,14,6.0,Putin,human_rights_violations
86,1,207.0,Putin,human_rights_violations
86,14,7.0,Putin,human_rights_violations
87,1,195.0,Putin,human_rights_violations
87,14,2.0,Putin,human_rights_violations
89,1,163.0,Putin,human_rights_violations
89,14,1.0,Putin,human_rights_violations
90,1,83.0,Putin,human_rights_violations
90,14,1.0,Putin,human_rights_violations
91,1,280.0,Putin,human_rights_violations
91,14,25.0,Putin,human_rights_violations
92,1,153.0,Putin,human_rights_violations
92,14,5.0,Putin,human_rights_violations
93,1,274.0,Putin,human_rights_violations
93,14,23.0,Putin,human_rights_violations
94,1,304.0,Putin,human_rights_violations
94,14,0.0,Putin,human_rights_violations
95,1,365.0,Putin,human_rights_violations
95,14,20.0,Putin,human_rights_violations
96,1,185.0,Putin,human_rights_violations
96,14,16.0,Putin,human_rights_violations
97,1,72.0,Putin,human_rights_violations
97,14,2.0,Putin,human_rights_violations
98,1,195.0,Putin,human_rights_violations
98,14,4.0,Putin,human_rights_violations
99,1,197.0,Putin,human_rights_violations
99,14,15.0,Putin,human_rights_violations
100,1,9.0,Putin,human_rights_violations
100,14,0.0,Putin,human_rights_violations
101,1,0.0,Putin,human_rights_violations
101,14,0.0,Putin,human_rights_violations
102,1,122.0,Putin,human_rights_violations
102,14,13.0,Putin,human_rights_violations
103,1,272.0,Putin,human_rights_violations
103,14,15.0,Putin,human_rights_violations
104,1,4.0,Putin,human_rights_violations
104,14,2.0,Putin,human_rights_violations
105,1,195.0,Putin,human_rights_violations
105,14,3.0,Putin,human_rights_violations
106,1,23.0,Putin,human_rights_violations
106,14,21.0,Putin,human_rights_violations
108,1,263.0,Putin,human_rights_violations
108,14,11.0,Putin,human_rights_violations
1,1,5.0,Netanyahu,overall
1,14,278.0,Netanyahu,overall
2,1,2.0,Netanyahu,overall
2,14,313.0,Netanyahu,overall
3,1,16.0,Netanyahu,overall
3,14,341.0,Netanyahu,overall
4,1,2.0,Netanyahu,overall
4,14,229.0,Netanyahu,overall
5,1,14.0,Netanyahu,overall
5,14,365.0,Netanyahu,overall
6,1,13.0,Netanyahu,overall
6,14,348.0,Netanyahu,overall
7,1,17.0,Netanyahu,overall
7,14,401.0,Netanyahu,overall
8,1,5.0,Netanyahu,overall
8,14,268.0,Netanyahu,overall
9,1,1.0,Netanyahu,overall
9,14,283.0,Netanyahu,overall
10,1,31.0,Netanyahu,overall
10,14,431.0,Netanyahu,overall
11,14,3.0,Netanyahu,overall
12,1,21.0,Netanyahu,overall
12,14,283.0,Netanyahu,overall
13,1,13.0,Netanyahu,overall
