publish_date,outlet_id,conflict_id,sentiment,sentiment_category,sentiment_intensity,article_count,normalized_sentiment
2008-07-10 00:00:00,103,1,0.0543290043290043,positive,0.0543290043290043,1,0.0543290043290043
2008-07-22 00:00:00,60,1,0.0197916666666666,neutral,0.0197916666666666,1,0.0197916666666666
2008-08-23 00:00:00,67,1,-0.0302845528455284,neutral,0.0302845528455284,1,-0.0302845528455284
2008-09-12 00:00:00,42,1,0.0772727272727272,positive,0.0772727272727272,1,0.0772727272727272
2008-10-13 00:00:00,67,1,-0.3333333333333333,negative,0.3333333333333333,1,-0.3333333333333333
2008-10-14 00:00:00,83,1,0.225,positive,0.225,1,0.225
2008-11-05 00:00:00,103,14,0.0,neutral,0.0,1,0.0
2009-01-01 00:00:00,75,14,,neutral,,1,
2009-01-05 00:00:00,18,14,0.0341540404040403,neutral,0.0341540404040403,2,0.01707702020202015
2009-01-05 00:00:00,29,14,,neutral,,2,
2009-01-07 00:00:00,9,14,0.1109447004608295,positive,0.1109447004608295,1,0.1109447004608295
2009-01-08 00:00:00,39,14,0.0701102214937166,positive,0.0701102214937166,4,0.01752755537342915
2009-01-08 00:00:00,87,14,0.0612648221343873,positive,0.0612648221343873,4,0.015316205533596826
2009-01-08 00:00:00,103,14,-0.875,negative,0.875,4,-0.21875
2009-01-08 00:00:00,106,14,0.0364939874939874,neutral,0.0364939874939874,4,0.00912349687349685
2009-01-09 00:00:00,56,1,0.1598484848484848,positive,0.1598484848484848,1,0.1598484848484848
2009-01-10 00:00:00,44,14,-0.0502314814814815,negative,0.0502314814814815,1,-0.0502314814814815
2009-01-12 00:00:00,8,14,-0.0068722943722943,neutral,0.0068722943722943,1,-0.0068722943722943
2009-01-14 00:00:00,22,14,0.0252152250265457,neutral,0.0252152250265457,1,0.0252152250265457
2009-01-15 00:00:00,35,14,-0.0712474120082815,negative,0.0712474120082815,1,-0.0712474120082815
2009-01-18 00:00:00,22,14,,neutral,,1,
